,Scripcode,Start Date,End Date,Entry Buffer,Exit Buffer,TSL1,TSL2
,GRASIM EQ,2014-01-01,2024-12-31,1.0,1.0,2.0,4.0
,,,,,,,,,,,
,,,,,,,,,,,
,System,Entry Date,Exit Date,Trade,Entry,Exit,P&L,Cumm PL,Comments,HH/LL,% ITM
1,RTT,2020-08-18,2020-08-26,Long,638.17,664.83,26.660000000000082,26.660000000000082,SAR,693.5,8.67
2,RTT,2020-08-26,2020-08-27,Short,664.83,680.49,-15.659999999999968,11.000000000000114,SAR,658.6,0.94
3,RTT,2020-08-27,2020-08-31,Long,680.49,680.49,0.0,11.000000000000114,BEP,717.5,5.44
4,RTT,2020-09-01,2020-09-01,Short,660.53,686.95,-26.420000000000073,-15.419999999999959,TSL,651.05,1.44
5,RTT,2020-09-02,2020-09-03,Short,668.1,691.4,-23.299999999999955,-38.719999999999914,SAR,662.65,0.82
6,RTT,2020-09-03,2020-09-08,Long,691.4,691.4,0.0,-38.719999999999914,BEP,729.35,5.49
7,RTT,2020-09-09,2020-09-10,Short,671.67,698.54,-26.870000000000005,-65.58999999999992,TSL,664.05,1.13
8,RTT,2020-09-14,2020-09-23,Long,732.0,709.68,-22.32000000000005,-87.90999999999997,SAR,749.65,2.41
9,RTT,2020-09-23,2020-09-24,Short,709.68,709.68,0.0,-87.90999999999997,BEP,675.5,4.82
10,RTT,2020-09-25,2020-09-29,Short,709.68,736.39,-26.710000000000036,-114.62,SAR,683.0,3.76
11,RTT,2020-09-29,2020-10-09,Long,736.39,742.65,6.259999999999991,-108.36000000000001,SAR,774.7,5.2
12,RTT,2014-01-07,2014-01-07,Long,2633.95,2604.39,-29.559999999999945,-137.91999999999996,SAR,2647.25,0.5
13,RTT,2014-01-07,2014-01-17,Short,2604.39,2628.27,-23.88000000000011,-161.80000000000007,SAR,2560.0,1.7
14,RTT,2014-01-17,2014-01-22,Long,2628.27,2569.59,-58.679999999999836,-220.4799999999999,SAR,2629.95,0.06
15,RTT,2014-01-22,2014-01-29,Short,2569.59,2619.99,-50.399999999999636,-270.87999999999954,SAR,2556.0,0.53
16,RTT,2014-01-29,2014-01-31,Long,2619.99,2566.48,-53.50999999999976,-324.3899999999993,SAR,2625.0,0.19
17,RTT,2014-01-31,2014-02-10,Short,2566.48,2566.48,0.0,-324.3899999999993,BEP,2451.0,4.5
18,RTT,2014-02-13,2014-02-21,Short,2460.79,2508.23,-47.440000000000055,-371.82999999999936,SAR,2426.35,1.4
19,RTT,2014-02-21,2014-03-14,Long,2508.23,2710.1,201.8699999999999,-169.95999999999947,SAR,2838.9,13.18
20,RTT,2014-03-14,2014-03-24,Short,2722.8,2767.65,-44.84999999999991,-214.80999999999938,SAR,2687.4,1.3
21,RTT,2014-03-24,2014-04-15,Long,2767.65,2786.5,18.84999999999991,-195.95999999999947,SAR,2922.0,5.58
22,RTT,2014-04-15,2014-04-25,Short,2786.5,2786.5,0.0,-195.95999999999947,BEP,2658.4,4.6
23,RTT,2014-04-28,2014-05-09,Short,2650.0,2664.99,-14.989999999999782,-210.94999999999925,SAR,2583.1,2.52
24,RTT,2014-05-09,2014-05-21,Long,2664.99,2990.54,325.5500000000002,114.60000000000093,SAR,3274.75,22.88
25,RTT,2014-05-21,2014-05-26,Short,2990.54,3062.93,-72.38999999999987,42.21000000000106,SAR,2906.4,2.81
26,RTT,2014-05-26,2014-05-27,Long,3062.93,3062.93,0.0,42.21000000000106,BEP,3224.55,5.28
27,RTT,2020-10-09,2020-10-16,Short,742.65,771.24,-28.590000000000032,13.620000000001028,SAR,733.45,1.24
28,RTT,2014-05-28,2014-06-13,Long,3118.0,3522.57,404.57000000000016,418.1900000000012,SAR,3789.0,21.52
29,RTT,2014-06-13,2014-06-17,Short,3522.57,3609.39,-86.81999999999971,331.3700000000015,SAR,3509.85,0.36
30,RTT,2014-06-17,2014-06-20,Long,3609.39,3499.8,-109.58999999999969,221.7800000000018,SAR,3615.0,0.16
31,RTT,2014-06-20,2014-07-17,Short,3499.8,3343.0,156.80000000000018,378.580000000002,SAR,3188.05,8.91
32,RTT,2014-07-17,2014-07-24,Long,3343.0,3303.73,-39.26999999999998,339.310000000002,SAR,3427.1,2.52
33,RTT,2014-07-24,2014-08-05,Short,3303.73,3249.73,54.0,393.310000000002,SAR,3173.95,3.93
34,RTT,2014-08-05,2014-08-08,Long,3249.73,3245.17,-4.559999999999945,388.75000000000205,SAR,3345.0,2.93
35,RTT,2014-08-08,2014-08-12,Short,3245.17,3321.99,-76.81999999999971,311.93000000000234,SAR,3232.05,0.4
36,RTT,2014-08-12,2014-08-26,Long,3321.99,3373.82,51.83000000000038,363.7600000000027,SAR,3475.0,4.61
37,RTT,2014-08-26,2014-09-01,Short,3373.82,3479.7,-105.87999999999965,257.88000000000306,SAR,3344.0,0.88
38,RTT,2014-09-01,2014-09-02,Long,3479.7,3479.7,0.0,257.88000000000306,BEP,3653.9,5.01
39,RTT,2014-09-03,2014-09-12,Long,3615.0,3601.17,-13.829999999999927,244.05000000000314,SAR,3683.65,1.9
40,RTT,2014-09-12,2014-09-19,Short,3601.17,3682.86,-81.69000000000005,162.36000000000308,SAR,3520.0,2.25
41,RTT,2020-10-16,2020-10-26,Long,771.24,771.24,0.0,162.36000000000308,BEP,3699.0,379.62
42,RTT,2014-09-19,2014-09-25,Long,3682.86,3535.55,-147.30999999999995,15.050000000003138,TSL,3758.0,2.04
43,RTT,2014-10-01,2014-10-29,Short,3507.62,3452.89,54.73000000000002,69.78000000000316,SAR,3218.0,8.26
44,RTT,2014-10-29,2014-11-12,Long,3452.89,3545.78,92.89000000000033,162.67000000000348,SAR,3660.0,6.0
45,RTT,2014-11-12,2014-11-12,Short,3545.78,3639.0,-93.2199999999998,69.45000000000368,SAR,3500.4,1.28
46,RTT,2014-11-12,2014-11-17,Long,3625.04,3545.78,-79.25999999999976,-9.80999999999608,SAR,3660.0,0.96
47,RTT,2014-11-17,2014-11-27,Short,3545.78,3578.03,-32.25,-42.05999999999608,SAR,3460.0,2.42
48,RTT,2014-11-27,2014-12-04,Long,3578.03,3470.74,-107.29000000000042,-149.3499999999965,SAR,3595.0,0.47
49,RTT,2014-12-04,2014-12-23,Short,3470.74,3450.01,20.729999999999563,-128.61999999999694,SAR,3305.2,4.77
50,RTT,2014-12-23,2015-01-06,Long,3450.01,3351.2,-98.8100000000004,-227.42999999999734,SAR,3547.6,2.83
51,RTT,2020-10-27,2020-11-05,Short,774.0,799.06,-25.059999999999945,-252.48999999999728,SAR,765.25,1.13
52,RTT,2015-01-06,2015-01-13,Short,3351.2,3467.0,-115.80000000000018,-368.28999999999746,SAR,3341.9,0.28
53,RTT,2015-01-13,2015-02-09,Long,3459.2,3770.22,311.02,-57.26999999999748,SAR,3975.0,14.91
54,RTT,2015-02-09,2015-02-12,Short,3770.22,3921.03,-150.8100000000004,-208.07999999999788,TSL,3651.9,3.14
55,RTT,2015-02-13,2015-02-19,Long,3882.59,3816.7,-65.89000000000033,-273.9699999999982,SAR,3900.0,0.45
56,RTT,2015-02-19,2015-03-02,Short,3816.7,3816.7,0.0,-273.9699999999982,BEP,3580.65,6.18
57,RTT,2015-03-02,2015-03-09,Long,3906.07,3749.83,-156.24000000000024,-430.20999999999844,TSL,4024.85,3.04
58,RTT,2015-03-13,2015-03-30,Short,3661.86,3666.05,-4.190000000000055,-434.3999999999985,SAR,3528.65,3.64
59,RTT,2020-11-05,2020-12-21,Long,799.06,893.23,94.17000000000007,-340.2299999999984,SAR,3667.95,359.03
60,RTT,2015-03-30,2015-04-16,Long,3666.05,3742.7,76.64999999999964,-263.5799999999988,SAR,3826.9,4.39
61,RTT,2015-04-16,2015-05-11,Short,3742.7,3545.66,197.03999999999996,-66.53999999999883,SAR,3443.0,8.01
62,RTT,2015-05-11,2015-05-14,Long,3545.66,3458.22,-87.44000000000005,-153.97999999999888,SAR,3575.0,0.83
63,RTT,2015-05-14,2015-05-19,Short,3458.22,3592.32,-134.10000000000036,-288.07999999999925,SAR,3456.2,0.06
64,RTT,2015-05-19,2015-05-28,Long,3592.32,3531.97,-60.350000000000364,-348.4299999999996,SAR,3698.0,2.94
65,RTT,2015-05-28,2015-05-29,Short,3531.97,3614.49,-82.51999999999998,-430.9499999999996,SAR,3502.1,0.85
66,RTT,2015-05-29,2015-06-03,Long,3614.49,3476.73,-137.75999999999976,-568.7099999999994,SAR,3680.0,1.81
