,Scripcode,Start Date,End Date,Entry Criteria,Exit Criteria,Entry Buffer,Exit Buffer,MSL,BEP
,SILVER FUTCOM,2014-01-01,2024-12-31,2 Days,2 Days,1.0,1.0,4.0,no
,,,,,,,,,,
,,,,,,,,,,
,Trade,Comments,Entry Date,Entry,Exit,Exit Date,P&L,HH/LL,% ITM,System
0,Sell,MSL,2014-01-04,0.0,44340.0,2014-01-08,0.0,0.0,,
1,Sell,MSL,2014-01-11,0.0,0.0,2014-01-18,0.0,0.0,,
2,Sell,MSL,2014-01-18,0.0,45631.8,2014-01-24,0.0,0.0,,
3,Buy,MSL,2014-01-24,45631.8,0.0,2014-01-25,-45631.8,45649.0,0.04,
4,Sell,MSL,2014-01-25,0.0,43405.56,2014-01-30,0.0,0.0,,
5,Sell,SAR,2014-01-30,43405.56,44591.5,2014-02-05,-1185.94,0.0,100.0,
6,Buy,SAR,2014-02-05,44591.5,0.0,2014-02-08,-44591.5,45223.0,1.42,
7,Sell,MSL,2014-02-08,0.0,45439.9,2014-02-14,0.0,0.0,,
8,Buy,SAR,2014-02-14,45439.9,0.0,2014-02-15,-45439.9,46717.0,2.81,
9,Sell,MSL,2014-02-15,0.0,0.0,2014-02-22,0.0,0.0,,
10,Sell,MSL,2014-02-22,0.0,46690.38,2014-02-26,0.0,0.0,,
11,Sell,SAR,2014-02-26,46690.38,47541.71,2014-03-14,-851.33,0.0,100.0,
12,Buy,SAR,2014-03-14,47541.71,0.0,2014-03-15,-47541.71,47877.0,0.71,
13,Sell,MSL,2014-03-15,0.0,44774.73,2014-03-20,0.0,0.0,,
14,Sell,SAR,2014-03-20,44774.73,40449.49,2014-06-05,4325.24,0.0,100.0,
15,Buy,SAR,2014-06-05,40449.49,44286.66,2014-07-24,3837.17,46400.0,14.71,
16,Sell,SAR,2014-07-24,44286.66,42899.75,2014-08-28,1386.91,41780.0,5.66,
17,Buy,SAR,2014-08-28,42899.75,41534.46,2014-09-02,-1365.29,42930.0,0.07,
18,Sell,SAR,2014-09-02,41534.46,38986.0,2014-10-07,2548.46,37211.0,10.41,
19,Buy,SAR,2014-10-07,38986.0,37588.32,2014-10-30,-1397.68,39180.0,0.5,
20,Sell,SAR,2014-10-30,37588.32,35339.9,2014-11-14,2248.42,33491.0,10.9,
21,Buy,SAR,2014-11-14,35339.9,35986.5,2014-11-27,646.6,36776.0,4.06,
22,Sell,SAR,2014-11-27,35986.5,36818.54,2014-12-01,-832.04,32626.0,9.34,
23,Buy,SAR,2014-12-01,36818.54,37816.02,2014-12-16,997.48,39042.0,6.04,
24,Sell,SAR,2014-12-16,37816.02,37026.6,2014-12-26,789.42,35830.0,5.25,
25,Buy,SAR,2014-12-26,37026.6,36057.78,2014-12-31,-968.82,37746.0,1.94,
26,Sell,SAR,2014-12-31,36057.78,37188.2,2015-01-05,-1130.42,35698.0,1.0,
27,Buy,SAR,2015-01-05,37188.2,38692.17,2015-01-29,1503.97,40580.0,9.12,
28,Sell,SAR,2015-01-29,38692.17,38768.85,2015-02-03,-76.68,37166.0,3.94,
29,Buy,MSL,2015-02-03,38768.85,37218.1,2015-02-06,-1550.75,39000.0,0.6,
30,Sell,SAR,2015-02-06,37035.9,38214.36,2015-02-13,-1178.46,36731.0,0.82,
31,Buy,SAR,2015-02-13,38214.36,36959.67,2015-02-17,-1254.69,38474.0,0.68,
32,Sell,SAR,2015-02-17,36959.67,37151.84,2015-03-02,-192.17,35760.0,3.25,
33,Buy,MSL,2015-03-02,37151.84,35665.77,2015-03-10,-1486.07,37180.0,0.08,
34,Sell,SAR,2015-03-11,35201.43,36006.5,2015-03-19,-805.07,34887.0,0.89,
35,Buy,SAR,2015-03-19,36006.5,37545.75,2015-03-30,1539.25,39090.0,8.56,
36,Sell,SAR,2015-03-30,37545.75,38460.8,2015-04-06,-915.05,37030.0,1.37,
37,Buy,SAR,2015-04-06,38460.8,37187.37,2015-04-08,-1273.43,38588.0,0.33,
38,Sell,SAR,2015-04-08,37187.37,36596.34,2015-04-27,591.03,35591.0,4.29,
39,Buy,SAR,2015-04-27,36596.34,36590.4,2015-04-30,-5.94,37790.0,3.26,
40,Sell,SAR,2015-04-30,36590.4,38119.42,2015-05-06,-1529.02,36060.0,1.45,
41,Buy,SAR,2015-05-06,38119.42,38956.5,2015-05-19,837.08,40574.0,6.44,
42,Sell,SAR,2015-05-19,38956.5,38935.5,2015-06-01,21.0,38026.0,2.39,
43,Buy,SAR,2015-06-01,38935.5,37431.9,2015-06-04,-1503.6,39150.0,0.55,
44,Sell,SAR,2015-06-04,37431.9,37218.5,2015-06-15,213.4,36450.0,2.62,
45,Buy,SAR,2015-06-15,37218.5,36285.48,2015-06-19,-933.02,37481.0,0.71,
46,Sell,SAR,2015-06-19,36285.48,36082.25,2015-07-06,203.23,35147.0,3.14,
47,Buy,SAR,2015-07-06,36082.25,35043.03,2015-07-07,-1039.22,36320.0,0.66,
48,Sell,SAR,2015-07-07,35043.03,34123.86,2015-08-07,919.17,33310.0,4.95,
49,Buy,SAR,2015-08-07,34123.86,35006.4,2015-08-18,882.54,36290.0,6.35,
50,Sell,SAR,2015-08-18,35006.4,36198.4,2015-08-20,-1192.0,34551.0,1.3,
51,Buy,SAR,2015-08-20,36198.4,35325.18,2015-08-24,-873.22,36786.0,1.62,
52,Sell,SAR,2015-08-24,35325.18,35451.0,2015-09-07,-125.82,33151.0,6.15,
53,Buy,SAR,2015-09-07,35451.0,34907.4,2015-09-11,-543.6,35988.0,1.51,
54,Sell,SAR,2015-09-11,34907.4,35524.73,2015-09-16,-617.33,34451.0,1.31,
55,Buy,SAR,2015-09-16,35524.73,35496.45,2015-09-22,-28.28,36690.0,3.28,
56,Sell,SAR,2015-09-22,35496.45,35348.99,2015-10-05,147.46,34404.0,3.08,
57,Buy,SAR,2015-10-05,35348.99,36255.78,2015-10-08,906.79,37719.0,6.7,
58,Sell,SAR,2015-10-08,36255.78,37546.75,2015-10-28,-1290.97,36150.0,0.29,
59,Buy,SAR,2015-10-28,37546.75,36484.47,2015-10-29,-1062.28,37975.0,1.14,
60,Sell,SAR,2015-10-29,36484.47,33957.21,2015-12-04,2527.26,33102.0,9.27,
61,Buy,SAR,2015-12-04,33957.21,33848.1,2015-12-11,-109.11,35359.0,4.13,
