,Scripcode,Start Date,End Date,Entry Buffer,Exit Buffer,MSL,BEP
,BPCL EQ,2014-01-01,2024-12-31,1.0,1.0,5.0,no
,,,,,,,,,,,
,,,,,,,,,,,
,System,Entry Date,Exit Date,Trade,Entry,Exit,P&L,Cumm PL,Comments,HH/LL,% ITM
1,2 Week High-Low,2014-01-23,2014-01-27,Buy,349.46,331.99,-17.47,-17.47,MSL,349.7,0.07
2,2 Week High-Low,2014-01-29,2014-02-20,Buy,353.2,344.22,-8.98,-26.45,SAR,370.8,4.98
3,2 Week High-Low,2014-02-20,2014-02-21,Sell,344.22,361.43,-17.21,-43.66,MSL,342.2,0.59
4,2 Week High-Low,2014-02-25,2014-05-27,Buy,372.19,541.08,168.89,125.22999999999999,SAR,589.0,58.25
5,2 Week High-Low,2014-05-27,2014-06-03,Sell,541.08,568.14,-27.06,98.16999999999999,MSL,516.85,4.48
6,2 Week High-Low,2014-06-05,2014-06-13,Buy,586.91,557.57,-29.34,68.82999999999998,MSL,650.0,10.75
7,2 Week High-Low,2014-06-20,2014-06-24,Sell,549.45,576.92,-27.47,41.359999999999985,MSL,539.0,1.9
8,2 Week High-Low,2014-07-01,2014-07-08,Buy,610.04,579.54,-30.5,10.859999999999985,MSL,612.0,0.32
9,2 Week High-Low,2014-07-10,2014-07-16,Sell,561.13,589.19,-28.06,-17.200000000000014,MSL,556.5,0.83
10,2 Week High-Low,2014-07-23,2014-07-28,Buy,599.74,569.75,-29.99,-47.19000000000001,MSL,613.0,2.21
11,2 Week High-Low,2014-08-08,2014-08-12,Sell,563.56,591.74,-28.18,-75.37,MSL,560.5,0.54
12,2 Week High-Low,2014-08-18,2014-09-10,Buy,621.65,677.06,55.41,-19.960000000000008,SAR,722.85,16.28
13,2 Week High-Low,2014-09-10,2014-10-08,Sell,677.06,671.4,5.66,-14.300000000000008,SAR,597.35,11.77
14,2 Week High-Low,2014-10-08,2014-12-08,Buy,671.4,698.0,26.6,12.299999999999994,SAR,785.0,16.92
15,2 Week High-Low,2014-12-08,2015-01-08,Sell,698.0,668.32,29.68,41.97999999999999,SAR,625.0,10.46
16,2 Week High-Low,2015-01-08,2015-02-10,Buy,668.32,699.48,31.16,73.13999999999999,SAR,772.8,15.63
17,2 Week High-Low,2015-02-10,2015-02-16,Sell,699.48,734.46,-34.98,38.15999999999999,MSL,689.0,1.5
18,2 Week High-Low,2015-02-25,2015-02-28,Buy,767.45,729.08,-38.37,-0.21000000000000796,MSL,772.05,0.6
19,2 Week High-Low,2015-03-02,2015-03-13,Buy,779.77,740.78,-38.99,-39.20000000000001,MSL,789.8,1.29
20,2 Week High-Low,2015-03-13,2015-03-18,Sell,739.68,776.66,-36.98,-76.18,MSL,727.05,1.71
21,2 Week High-Low,2015-03-23,2015-03-25,Sell,715.57,751.35,-35.78,-111.96000000000001,MSL,713.1,0.35
22,2 Week High-Low,2015-03-31,2015-04-24,Buy,782.7,783.59,0.89,-111.07000000000001,SAR,835.0,6.68
23,2 Week High-Low,2015-04-24,2015-05-25,Sell,783.59,804.21,-20.62,-131.69,SAR,720.35,8.07
24,2 Week High-Low,2015-05-25,2015-06-16,Buy,804.21,821.95,17.74,-113.95,SAR,876.35,8.97
25,2 Week High-Low,2015-06-16,2015-06-23,Sell,821.95,859.71,-37.76,-151.71,SAR,803.0,2.31
26,2 Week High-Low,2015-06-23,2015-07-31,Buy,859.71,928.22,68.51,-83.2,SAR,987.0,14.81
27,2 Week High-Low,2015-07-31,2015-08-07,Sell,928.22,961.27,-33.05,-116.25,SAR,325.2,64.97
28,2 Week High-Low,2015-08-07,2015-08-12,Buy,961.27,913.2,-48.07,-164.32,MSL,979.55,1.9
29,2 Week High-Low,2014-01-29,2014-02-20,Buy,353.2,344.22,-8.98,-173.29999999999998,SAR,370.8,4.98
30,2 Week High-Low,2014-02-20,2014-02-21,Sell,344.22,361.43,-17.21,-190.51,MSL,342.2,0.59
31,2 Week High-Low,2014-02-25,2014-05-27,Buy,372.19,541.08,168.89,-21.620000000000005,SAR,589.0,58.25
32,2 Week High-Low,2014-05-27,2015-09-08,Sell,541.08,811.8,-270.72,-292.34000000000003,MSL,516.85,4.48
33,2 Week High-Low,2015-09-08,0,Sell,811.8,568.14,243.66,-48.680000000000035,SAR,539.0,33.6
34,2 Week High-Low,2014-07-01,2014-07-08,Buy,610.04,579.54,-30.5,-79.18000000000004,MSL,612.0,0.32
35,2 Week High-Low,2015-09-11,2015-09-29,Buy,853.45,845.56,-7.89,-87.07000000000004,SAR,898.95,5.33
36,2 Week High-Low,2014-07-10,2014-07-16,Sell,561.13,589.19,-28.06,-115.13000000000004,MSL,556.5,0.83
37,2 Week High-Low,2014-07-23,2014-07-28,Buy,599.74,569.75,-29.99,-145.12000000000003,MSL,613.0,2.21
38,2 Week High-Low,2015-09-29,2014-08-08,Sell,845.56,563.56,282.0,136.87999999999997,Short,560.5,33.71
39,2 Week High-Low,2014-08-08,2015-10-15,Sell,563.56,892.84,-329.28,-192.4,SAR,560.5,0.54
40,2 Week High-Low,2015-10-15,2015-10-29,Buy,892.84,591.74,-301.1,-493.5,MSL,925.6,3.67
41,2 Week High-Low,2014-09-01,2014-09-10,Buy,706.29,677.06,-29.23,-522.73,SAR,722.85,2.34
