,Scripcode,Start Date,End Date,Entry Buffer,Exit Buffer,TSL1,TSL2
,GOLD FUTCOM,2014-01-01,2024-12-31,1.0,1.0,2.0,4.0
,,,,,,,,,,
,,,,,,,,,,
,Trade,Comments,Entry Date,Entry,Exit,Exit Date,P&L,HH/LL,% ITM,System
0,Short,SAR,2014-01-18,0.0,29288.0,2014-01-20,0.0,0.0,,
1,Long,SAR,2014-01-24,29580.88,0.0,2014-01-25,-29580.88,29675.0,0.32,
2,Short,TSL,2014-01-25,0.0,29580.88,2014-01-27,0.0,0.0,,
3,Long,SAR,2014-01-27,29580.88,0.0,2014-02-01,-29580.88,29849.0,0.91,
4,Short,TSL,2014-02-01,0.0,30143.45,2014-02-05,0.0,0.0,,
5,Long,SAR,2014-02-05,30143.45,29796.0,2014-02-05,-347.4500000000007,31468.0,4.39,
6,Short,SAR,2014-02-06,28680.0,0.0,2014-02-15,28680.0,0.0,100.0,
7,Short,TSL,2014-02-15,0.0,30055.58,2014-02-17,0.0,0.0,,
8,Long,SAR,2014-02-17,30055.58,0.0,2014-02-22,-30055.58,30260.0,0.68,
9,Short,TSL,2014-02-22,0.0,0.0,2014-03-01,0.0,0.0,,
10,Short,TSL,2014-03-01,0.0,30542.4,2014-03-03,0.0,0.0,,
11,Long,SAR,2014-03-03,30542.4,0.0,2014-03-08,-30542.4,30660.0,0.39,
12,Short,TSL,2014-03-08,0.0,30511.09,2014-03-12,0.0,0.0,,
13,Long,SAR,2014-03-12,30511.09,0.0,2014-03-15,-30511.09,30737.0,0.74,
14,Short,TSL,2014-03-15,0.0,30511.09,2014-03-17,0.0,0.0,,
15,Long,SAR,2014-03-17,30511.09,29821.77,2014-03-20,-689.3199999999997,30566.0,0.18,
16,Short,SAR,2014-03-20,29821.77,28761.77,2014-04-10,1060.0,0.0,100.0,
17,Long,SAR,2014-04-10,28761.77,28468.44,2014-04-15,-293.33000000000175,28986.0,0.78,
18,Short,SAR,2014-04-15,28468.44,28874.89,2014-04-25,-406.4500000000007,28200.0,0.94,
19,Long,SAR,2014-04-25,28874.89,28462.5,2014-05-02,-412.3899999999994,29020.0,0.5,
20,Short,SAR,2014-05-02,28462.5,26400.39,2014-06-13,2062.1100000000006,25755.0,9.51,
21,Long,SAR,2014-06-13,26400.39,27390.33,2014-07-03,989.9400000000023,27940.0,5.83,
22,Short,SAR,2014-07-03,27390.33,27832.57,2014-07-10,-442.23999999999796,27363.0,0.1,
23,Long,SAR,2014-07-10,27832.57,27713.07,2014-07-24,-119.5,28589.0,2.72,
24,Short,SAR,2014-07-24,27713.07,28334.54,2014-08-06,-621.4700000000012,27602.0,0.4,
25,Long,SAR,2014-08-06,28334.54,28317.96,2014-08-18,-16.580000000001746,29085.0,2.65,
26,Short,SAR,2014-08-18,28317.96,28173.95,2014-08-28,144.0099999999984,27704.0,2.17,
