,Scripcode,Start Date,End Date,Entry Buffer,Exit Buffer,TSL1,TSL2
,CRUDEOIL FUTCOM,2014-01-01,2024-12-31,1.0,1.0,2.0,4.0
,,,,,,,,,,,
,,,,,,,,,,,
,System,Entry Date,Exit Date,Trade,Entry,Exit,P&L,Cumm PL,Comments,HH/LL,% ITM
1,RTT,2014-01-07,2014-01-15,Short,643.3,635.9,7.399999999999977,7.399999999999977,SAR,606.45,5.73
2,RTT,2014-01-15,2014-01-24,Short,635.9,616.42,19.480000000000018,26.879999999999995,SAR,649.8,-2.19
3,RTT,2014-01-24,2014-02-06,Short,616.42,553.88,62.539999999999964,89.41999999999996,SAR,520.45,15.57
4,RTT,2014-02-06,2014-02-13,Short,553.88,555.74,-1.8600000000000136,87.55999999999995,SAR,577.0,-4.17
5,RTT,2014-02-13,2014-02-18,Short,555.74,541.66,14.080000000000041,101.63999999999999,SAR,527.0,5.17
6,RTT,2014-02-18,2014-02-20,Short,541.66,527.72,13.93999999999994,115.57999999999993,SAR,545.5,-0.71
7,RTT,2014-02-20,2014-02-26,Short,527.72,543.28,-15.559999999999945,100.01999999999998,SAR,511.15,3.14
8,RTT,2014-02-26,2014-03-04,Short,543.28,543.28,0.0,100.01999999999998,BEP,578.8,-6.54
9,RTT,2014-03-05,2014-03-14,Short,582.0,635.0,-53.0,47.01999999999998,SAR,673.0,-15.64
10,RTT,2014-03-14,2014-03-14,Short,635.53,648.24,-12.710000000000036,34.309999999999945,TSL,630.3,0.82
11,RTT,2014-03-14,2014-05-26,Short,658.47,915.85,-257.38,-223.07000000000005,SAR,1010.0,-53.39
12,RTT,2014-05-26,2014-06-03,Short,915.85,885.57,30.279999999999973,-192.79000000000008,SAR,838.7,8.42
13,RTT,2014-06-03,2014-06-10,Short,885.57,876.25,9.32000000000005,-183.47000000000003,SAR,918.0,-3.66
14,RTT,2014-06-10,2014-06-13,Short,876.25,876.25,0.0,-183.47000000000003,BEP,837.05,4.47
15,RTT,2014-06-16,2014-06-17,Short,832.4,865.7,-33.30000000000007,-216.7700000000001,TSL,813.65,2.25
16,RTT,2014-06-20,2014-06-24,Short,832.44,865.74,-33.299999999999955,-250.07000000000005,TSL,820.2,1.47
17,RTT,2014-06-30,2014-07-08,Short,876.63,841.56,35.07000000000005,-215.0,TSL,897.2,-2.35
18,RTT,2014-07-08,2014-07-16,Short,837.89,837.89,0.0,-215.0,BEP,771.1,7.97
19,RTT,2014-07-17,2014-07-22,Short,842.79,828.53,14.259999999999991,-200.74,SAR,854.9,-1.44
20,RTT,2014-07-22,2014-07-23,Short,828.53,845.77,-17.24000000000001,-217.98000000000002,SAR,821.0,0.91
21,RTT,2014-07-23,2014-08-08,Short,845.77,863.13,-17.360000000000014,-235.34000000000003,SAR,919.25,-8.69
22,RTT,2014-08-08,2014-08-11,Short,863.13,897.66,-34.52999999999997,-269.87,TSL,855.55,0.88
23,RTT,2014-08-12,2014-08-13,Short,918.49,881.75,36.74000000000001,-233.13,TSL,919.3,-0.09
24,RTT,2014-08-21,2014-08-28,Short,896.12,871.5,24.620000000000005,-208.51,SAR,931.0,-3.89
25,RTT,2014-08-28,2014-09-09,Short,871.5,898.6,-27.100000000000023,-235.61,SAR,866.0,0.63
26,RTT,2014-09-09,2014-09-23,Short,898.6,939.96,-41.360000000000014,-276.97,SAR,966.75,-7.58
27,RTT,2014-09-23,2014-10-14,Short,939.96,879.81,60.15000000000009,-216.81999999999994,SAR,846.75,9.92
28,RTT,2014-10-14,2014-11-25,Short,879.81,1015.25,-135.44000000000005,-352.26,SAR,1068.4,-21.44
29,RTT,2014-11-25,2014-11-28,Short,1015.25,1050.65,-35.40000000000009,-387.6600000000001,SAR,1001.4,1.36
30,RTT,2014-11-28,2014-12-09,Short,1050.65,1074.35,-23.699999999999818,-411.3599999999999,SAR,1124.95,-7.07
31,RTT,2014-12-09,2014-12-23,Short,1074.35,1067.0,7.349999999999909,-404.01,SAR,985.0,8.32
32,RTT,2014-12-23,2015-01-06,Short,1065.7,1072.22,-6.519999999999982,-410.53,SAR,1108.5,-4.02
33,RTT,2015-01-06,2015-01-12,Short,1072.22,1088.38,-16.160000000000082,-426.69000000000005,SAR,1044.95,2.54
34,RTT,2015-01-12,2015-01-22,Short,1088.38,228.4,859.9800000000001,433.2900000000001,SAR,1138.7,-4.62
35,RTT,2015-01-22,2015-02-13,Short,228.4,182.76,45.640000000000015,478.93000000000006,SAR,169.35,25.85
36,RTT,2015-02-13,2015-02-19,Short,182.76,180.92,1.8400000000000034,480.7700000000001,SAR,185.3,-1.39
37,RTT,2015-02-19,2015-02-20,Short,180.92,185.03,-4.110000000000014,476.6600000000001,SAR,175.5,3.0
38,RTT,2015-02-20,2015-02-24,Short,185.03,177.63,7.400000000000006,484.06000000000006,TSL,186.9,-1.01
39,RTT,2015-02-24,2015-02-27,Short,176.76,178.92,-2.1599999999999966,481.9000000000001,SAR,170.05,3.8
40,RTT,2015-02-27,2015-02-28,Short,178.92,178.92,0.0,481.9000000000001,BEP,191.5,-7.03
41,RTT,2015-03-02,2015-03-04,Short,186.75,180.58,6.1699999999999875,488.07000000000005,SAR,198.7,-6.4
42,RTT,2015-03-04,2015-03-16,Short,180.58,181.65,-1.0699999999999932,487.00000000000006,SAR,175.55,2.79
43,RTT,2015-03-16,2015-03-19,Short,181.65,177.21,4.439999999999998,491.44000000000005,SAR,185.25,-1.98
44,RTT,2015-03-19,2015-04-01,Short,177.21,165.49,11.719999999999999,503.1600000000001,SAR,155.4,12.31
45,RTT,2015-04-01,2015-04-21,Short,165.49,175.38,-9.889999999999986,493.2700000000001,SAR,182.9,-10.52
46,RTT,2015-04-21,2015-04-21,Short,175.38,178.89,-3.509999999999991,489.7600000000001,TSL,174.55,0.47
47,RTT,2015-04-21,2015-04-24,Short,180.28,175.38,4.900000000000006,494.6600000000001,SAR,181.85,-0.87
48,RTT,2015-04-24,2015-05-29,Short,175.38,162.76,12.620000000000005,507.2800000000001,SAR,142.7,18.63
49,RTT,2015-05-29,2015-06-02,Short,162.76,158.5,4.259999999999991,511.5400000000001,SAR,165.5,-1.68
50,RTT,2015-06-02,2015-07-02,Short,158.5,151.8,6.699999999999989,518.24,SAR,137.15,13.47
51,RTT,2015-07-02,2015-07-06,Short,151.8,148.0,3.8000000000000114,522.04,SAR,153.9,-1.38
52,RTT,2015-07-06,2015-07-06,Short,148.5,151.47,-2.969999999999999,519.0699999999999,TSL,147.0,1.01
53,RTT,2015-07-06,2015-07-20,Short,151.8,153.99,-2.1899999999999977,516.8799999999999,SAR,158.1,-4.15
54,RTT,2015-07-20,2015-07-30,Short,153.99,155.39,-1.3999999999999773,515.4799999999999,SAR,148.0,3.89
55,RTT,2015-07-30,2015-08-25,Short,155.39,174.29,-18.900000000000006,496.5799999999999,SAR,216.3,-39.2
56,RTT,2015-08-25,2015-08-26,Short,174.29,182.35,-8.060000000000002,488.5199999999999,SAR,172.45,1.06
57,RTT,2015-08-27,2015-08-27,Short,180.77,184.39,-3.619999999999976,484.9,TSL,179.55,0.67
58,RTT,2015-08-27,2015-08-28,Short,184.48,184.48,0.0,484.9,BEP,192.45,-4.32
59,RTT,2015-08-31,2015-09-01,Short,189.68,181.25,8.430000000000007,493.33,SAR,189.8,-0.06
60,RTT,2015-09-01,2015-09-02,Short,175.43,175.95,-0.5199999999999818,492.81,SAR,166.55,5.06
61,RTT,2015-09-03,2015-09-04,Short,175.43,175.43,0.0,492.81,BEP,164.85,6.03
62,RTT,2015-09-07,2015-09-07,Short,177.36,170.27,7.090000000000003,499.9,TSL,180.0,-1.49
63,RTT,2015-09-08,2015-09-28,Short,177.36,184.98,-7.619999999999976,492.28,SAR,196.25,-10.65
64,RTT,2015-09-28,2015-10-08,Short,184.98,188.26,-3.280000000000001,489.0,SAR,178.85,3.31
65,RTT,2015-10-08,2015-10-09,Short,188.26,182.51,5.75,494.75,SAR,191.0,-1.46
66,RTT,2015-10-09,2015-11-06,Short,182.51,165.08,17.42999999999998,512.18,SAR,140.1,23.24
67,RTT,2015-11-06,2015-11-09,Short,165.08,162.55,2.530000000000001,514.7099999999999,SAR,172.5,-4.49
68,RTT,2015-11-10,2015-11-18,Short,169.4,169.4,0.0,514.7099999999999,BEP,177.4,-4.72
69,RTT,2015-11-27,2015-12-02,Short,173.62,173.62,0.0,514.7099999999999,BEP,182.5,-5.11
70,RTT,2015-12-04,2016-01-28,Short,166.52,131.5,35.02000000000001,549.7299999999999,SAR,118.05,29.11
71,RTT,2016-01-28,2016-01-29,Short,131.5,128.21,3.289999999999992,553.0199999999999,SAR,132.7,-0.91
72,RTT,2016-01-29,2016-02-08,Short,128.21,128.21,0.0,553.0199999999999,BEP,116.3,9.29
73,RTT,2016-02-08,2016-02-09,Short,131.45,126.19,5.259999999999991,558.2799999999999,TSL,134.7,-2.47
74,RTT,2016-02-10,2016-02-11,Short,119.34,119.34,0.0,558.2799999999999,BEP,112.65,5.61
75,RTT,2016-02-12,2016-02-15,Short,117.0,118.5,-1.5,556.7799999999999,SAR,109.35,6.54
76,RTT,2016-02-15,2016-02-16,Short,131.96,131.96,0.0,556.7799999999999,BEP,142.1,-7.68
77,RTT,2016-02-18,2016-02-23,Short,140.74,135.11,5.6299999999999955,562.4099999999999,TSL,146.25,-3.92
78,RTT,2016-02-25,2016-02-29,Short,131.62,135.04,-3.4199999999999875,558.9899999999999,SAR,126.7,3.74
79,RTT,2016-02-29,2016-02-29,Short,135.04,132.34,2.6999999999999886,561.6899999999998,TSL,139.2,-3.08
80,RTT,2016-02-29,2016-03-01,Short,128.8,134.35,-5.549999999999983,556.1399999999999,SAR,127.1,1.32
81,RTT,2016-03-01,2016-03-10,Short,134.08,140.48,-6.399999999999977,549.7399999999999,SAR,152.1,-13.44
82,RTT,2016-03-10,2016-03-16,Short,140.48,145.0,-4.52000000000001,545.2199999999999,SAR,137.5,2.12
83,RTT,2016-03-16,2016-03-28,Short,144.48,140.83,3.6499999999999773,548.8699999999999,SAR,147.8,-2.3
