,Scripcode,Start Date,End Date,Entry Buffer,Exit Buffer,MSL,BEP
,CRUDEOIL FUTCOM,2014-01-01,2024-12-31,1.0,1.0,4.0,no
,,,,,,,,,,,
,,,,,,,,,,,
,System,Entry Date,Exit Date,Trade,Entry,Exit,P&L,Cumm PL,Comments,HH/LL,% ITM
1,2 Week High-Low,2014-04-09,2014-04-25,Buy,6233.72,6140.97,-92.75,-92.75,SAR,6339.0,1.69
2,2 Week High-Low,2014-04-25,2014-06-12,Sell,6140.97,6289.27,-148.3,-241.05,SAR,5956.0,3.01
3,2 Week High-Low,2014-06-12,2014-07-09,Buy,6289.27,6120.18,-169.09,-410.14,SAR,6499.0,3.33
4,2 Week High-Low,2014-07-09,2014-09-16,Sell,6120.18,5765.08,355.1,-55.039999999999964,SAR,5526.0,9.71
5,2 Week High-Low,2014-09-16,2014-10-06,Buy,5765.08,5534.48,-230.6,-285.64,MSL,5885.0,2.08
6,2 Week High-Low,2014-10-06,2015-02-02,Sell,5487.57,3078.48,2409.09,2123.4500000000003,SAR,2720.0,50.43
7,2 Week High-Low,2015-02-02,2015-02-05,Buy,3078.48,2955.34,-123.14,2000.3100000000002,MSL,3257.0,5.8
8,2 Week High-Low,2015-02-06,2015-02-10,Buy,3289.57,3157.99,-131.58,1868.7300000000002,MSL,3340.0,1.53
9,2 Week High-Low,2015-03-11,2015-03-24,Sell,3009.6,2994.65,14.95,1883.6800000000003,SAR,2643.0,12.18
10,2 Week High-Low,2015-03-24,2015-05-28,Buy,2994.65,3660.03,665.38,2549.0600000000004,SAR,3989.0,33.2
11,2 Week High-Low,2015-05-28,2015-05-29,Sell,3660.03,3806.43,-146.4,2402.6600000000003,MSL,3625.0,0.96
12,2 Week High-Low,2015-06-02,2015-06-04,Buy,3916.78,3760.11,-156.67,2245.9900000000002,MSL,3935.0,0.47
13,2 Week High-Low,2015-07-01,2015-08-28,Sell,3676.86,2845.17,831.69,3077.6800000000003,SAR,2577.0,29.91
14,2 Week High-Low,2015-08-28,2015-10-15,Buy,2845.17,2946.24,101.07,3178.7500000000005,SAR,3303.0,16.09
15,2 Week High-Low,2015-10-15,2015-10-16,Sell,2946.24,3064.09,-117.85,3060.9000000000005,MSL,2936.0,0.35
16,2 Week High-Low,2015-10-23,2015-10-29,Sell,2906.64,3022.91,-116.27,2944.6300000000006,MSL,2792.0,3.94
17,2 Week High-Low,2015-11-03,2015-11-06,Buy,3110.8,2986.37,-124.43,2820.2000000000007,MSL,3173.0,2.0
18,2 Week High-Low,2015-11-12,2015-11-24,Sell,2851.2,2885.57,-34.37,2785.830000000001,SAR,2636.0,7.55
19,2 Week High-Low,2015-11-24,2015-12-01,Buy,2885.57,2770.15,-115.42,2670.4100000000008,MSL,2902.0,0.57
20,2 Week High-Low,2015-12-07,2016-01-04,Sell,2634.39,2565.4,68.99,2739.4000000000005,SAR,2276.0,13.6
21,2 Week High-Low,2016-01-04,2016-01-04,Buy,2565.4,2462.78,-102.62,2636.7800000000007,MSL,2566.0,0.02
22,2 Week High-Low,2016-01-06,2016-01-28,Sell,2373.03,2269.47,103.56,2740.3400000000006,SAR,1902.0,19.85
23,2 Week High-Low,2016-01-28,2016-02-01,Buy,2269.47,2178.69,-90.78,2649.5600000000004,MSL,2345.0,3.33
24,2 Week High-Low,2016-02-02,2016-02-03,Sell,2046.33,2128.18,-81.85,2567.7100000000005,MSL,2032.0,0.7
25,2 Week High-Low,2016-02-09,2016-02-16,Sell,2007.72,2088.03,-80.31,2487.4000000000005,MSL,1805.0,10.1
26,2 Week High-Low,2016-02-18,2016-02-19,Buy,2175.54,2088.52,-87.02,2400.3800000000006,MSL,2190.0,0.66
27,2 Week High-Low,2016-02-22,2016-02-24,Buy,2220.0,2131.2,-88.8,2311.5800000000004,MSL,2335.0,5.18
