,Scripcode,Start Date,End Date,Entry Buffer,Exit Buffer,TSL1,TSL2
,BAJFINANCE EQ,2014-01-01,2024-12-31,1.0,1.0,2.0,4.0
,,,,,,,,,,,
,,,,,,,,,,,
,System,Entry Date,Exit Date,Trade,Entry,Exit,P&L,Cumm PL,Comments,HH/LL,% ITM
1,RTT,2021-04-01,2021-04-06,Long,5245.49,5050.0,-195.48999999999978,-195.48999999999978,SAR,5288.5,0.82
2,RTT,2021-04-06,2021-04-26,Short,5050.0,4735.59,314.40999999999985,118.92000000000007,SAR,4362.0,13.62
3,RTT,2021-04-26,2021-05-07,Long,4735.59,5460.0,724.4099999999999,843.3299999999999,SAR,5749.95,21.42
4,RTT,2021-05-07,2021-05-18,Short,5460.0,5552.48,-92.47999999999956,750.8500000000004,SAR,5267.0,3.53
5,RTT,2021-05-18,2021-06-09,Long,5552.48,5672.45,119.97000000000025,870.8200000000006,SAR,6010.0,8.24
6,RTT,2021-06-09,2021-06-10,Short,5672.45,5812.95,-140.5,730.3200000000006,SAR,5627.3,0.8
7,RTT,2021-06-10,2021-06-21,Long,5812.95,5989.75,176.80000000000018,907.1200000000008,SAR,6249.0,7.5
8,RTT,2021-06-21,2021-06-29,Short,5989.75,6136.56,-146.8100000000004,760.3100000000004,SAR,5987.1,0.04
9,RTT,2021-06-29,2021-07-01,Long,6136.56,5976.68,-159.8800000000001,600.4300000000003,SAR,6137.65,0.02
10,RTT,2021-07-01,2021-07-06,Short,5976.68,6112.92,-136.23999999999978,464.1900000000005,SAR,5940.0,0.61
11,RTT,2021-07-06,2021-07-19,Long,6112.92,6056.62,-56.30000000000018,407.8900000000003,SAR,6342.8,3.76
12,RTT,2021-07-19,2021-07-22,Short,6056.62,6215.84,-159.22000000000025,248.67000000000007,SAR,5868.0,3.11
13,RTT,2021-07-22,2021-08-06,Long,6215.84,6215.84,0.0,248.67000000000007,BEP,6477.45,4.21
14,RTT,2021-08-09,2021-08-16,Short,6138.49,6261.49,-123.0,125.67000000000007,SAR,6057.0,1.33
15,RTT,2021-08-16,2021-09-07,Long,6261.49,7423.47,1161.9800000000005,1287.6500000000005,SAR,7674.5,22.57
16,RTT,2014-01-07,2014-01-13,Short,1555.25,1571.0,-15.75,1271.9000000000005,SAR,1537.0,1.17
17,RTT,2014-01-13,2014-01-15,Long,1571.0,1534.85,-36.15000000000009,1235.7500000000005,SAR,1571.8,0.05
18,RTT,2014-01-15,2014-01-16,Short,1534.85,1581.56,-46.710000000000036,1189.0400000000004,SAR,1532.0,0.19
19,RTT,2014-01-16,2014-01-17,Long,1581.56,1537.52,-44.039999999999964,1145.0000000000005,SAR,1604.0,1.42
20,RTT,2014-01-17,2014-01-17,Short,1537.52,1568.27,-30.75,1114.2500000000005,TSL,1535.0,0.16
21,RTT,2014-01-17,2014-01-23,Long,1581.56,1553.81,-27.75,1086.5000000000005,SAR,1610.0,1.8
22,RTT,2014-01-23,2014-01-29,Short,1553.81,1553.81,0.0,1086.5000000000005,BEP,1472.0,5.27
23,RTT,2014-01-31,2014-02-03,Long,1551.11,1489.07,-62.039999999999964,1024.4600000000005,TSL,1555.0,0.25
