,Scripcode,Start Date,End Date,Entry Buffer,Exit Buffer,TSL1,TSL2
,RECLTD EQ,2014-01-01,2024-12-31,1.0,1.0,2.0,4.0
,,,,,,,,,,,
,,,,,,,,,,,
,System,Entry Date,Exit Date,Trade,Entry,Exit,P&L,Cumm PL,Comments,HH/LL,% ITM
1,RTT,2020-04-24,2020-04-29,Short,89.45,92.77,-3.319999999999993,-3.319999999999993,SAR,89.1,0.39
2,RTT,2020-04-29,2020-05-04,Long,92.77,89.06,-3.7099999999999937,-7.029999999999987,TSL,96.25,3.75
3,RTT,2020-05-06,2020-05-07,Short,89.15,92.72,-3.569999999999993,-10.59999999999998,TSL,88.5,0.73
4,RTT,2020-05-08,2020-05-13,Short,89.15,93.5,-4.349999999999994,-14.949999999999974,SAR,86.9,2.52
5,RTT,2020-05-13,2020-05-18,Long,92.52,92.52,0.0,-14.949999999999974,BEP,104.8,13.27
6,RTT,2020-05-22,2020-05-29,Short,86.48,89.64,-3.1599999999999966,-18.10999999999997,SAR,83.65,3.27
7,RTT,2020-05-29,2020-06-18,Long,89.64,103.65,14.010000000000005,-4.099999999999966,SAR,110.45,23.22
8,RTT,2020-06-18,2020-06-18,Short,103.65,107.8,-4.1499999999999915,-8.249999999999957,TSL,102.15,1.45
9,RTT,2020-06-19,2020-06-19,Short,104.99,107.2,-2.210000000000008,-10.459999999999965,SAR,103.8,1.13
10,RTT,2020-06-19,2020-06-22,Long,108.52,107.5,-1.019999999999996,-11.479999999999961,SAR,115.9,6.8
11,RTT,2020-06-23,2020-06-23,Long,116.6,111.94,-4.659999999999997,-16.139999999999958,TSL,116.6,0.0
12,RTT,2020-06-25,2020-06-29,Long,115.54,111.38,-4.160000000000011,-20.29999999999997,SAR,117.4,1.61
13,RTT,2020-06-29,2020-07-03,Short,111.38,109.69,1.6899999999999977,-18.60999999999997,SAR,106.6,4.29
14,RTT,2020-07-03,2020-07-08,Long,109.69,107.22,-2.469999999999999,-21.07999999999997,SAR,112.4,2.47
15,RTT,2020-07-08,2020-07-20,Short,107.22,107.22,0.0,-21.07999999999997,BEP,99.8,6.92
16,RTT,2020-07-27,2020-07-29,Short,100.53,104.55,-4.019999999999996,-25.099999999999966,TSL,98.5,2.02
17,RTT,2014-02-03,2014-02-13,Long,179.0,188.0,9.0,-16.099999999999966,SAR,192.7,7.65
18,RTT,2014-02-13,2014-02-14,Short,188.0,192.15,-4.150000000000006,-20.24999999999997,SAR,187.0,0.53
19,RTT,2014-02-14,2014-02-20,Long,192.15,186.0,-6.150000000000006,-26.399999999999977,SAR,195.0,1.48
20,RTT,2014-02-20,2014-02-26,Short,186.02,188.52,-2.5,-28.899999999999977,SAR,181.4,2.48
21,RTT,2014-02-26,2014-03-20,Long,188.52,206.86,18.340000000000003,-10.559999999999974,SAR,220.5,16.96
22,RTT,2014-03-20,2014-03-24,Short,206.86,209.17,-2.309999999999974,-12.869999999999948,SAR,204.15,1.31
23,RTT,2014-03-24,2014-04-16,Long,209.17,237.3,28.130000000000024,15.260000000000076,SAR,246.9,18.04
24,RTT,2014-04-16,2014-04-17,Short,237.3,243.81,-6.509999999999991,8.750000000000085,SAR,235.0,0.97
25,RTT,2014-04-17,2014-04-30,Long,243.81,236.21,-7.599999999999994,1.150000000000091,SAR,252.5,3.56
26,RTT,2014-04-30,2014-05-05,Short,236.21,245.66,-9.449999999999989,-8.299999999999898,TSL,235.4,0.34
27,RTT,2014-05-06,2014-05-08,Long,251.64,241.57,-10.069999999999993,-18.36999999999989,TSL,255.3,1.45
28,RTT,2014-05-12,2014-05-14,Long,253.81,253.81,0.0,-18.36999999999989,BEP,271.95,7.15
29,RTT,2014-05-15,2014-05-30,Long,272.0,328.33,56.329999999999984,37.96000000000009,SAR,380.6,39.93
30,RTT,2014-05-30,2014-06-05,Short,328.33,334.66,-6.330000000000041,31.630000000000052,SAR,318.15,3.1
31,RTT,2014-06-05,2014-06-13,Long,334.66,334.66,0.0,31.630000000000052,BEP,380.5,13.7
32,RTT,2014-06-17,2014-06-17,Short,334.82,348.21,-13.389999999999986,18.240000000000066,TSL,333.6,0.36
33,RTT,2014-06-24,2020-07-30,Long,347.39,103.1,-244.29,-226.04999999999993,SAR,379.75,9.32
34,RTT,2014-07-07,2014-07-08,Long,375.85,365.66,-10.189999999999998,-236.23999999999992,SAR,383.4,2.01
35,RTT,2014-07-08,2014-07-10,Short,365.66,365.66,0.0,-236.23999999999992,BEP,332.1,9.18
36,RTT,2014-07-11,2014-07-15,Short,344.32,344.32,0.0,-236.23999999999992,BEP,321.05,6.76
37,RTT,2014-07-16,2014-07-24,Short,325.76,325.76,0.0,-236.23999999999992,BEP,308.15,5.41
38,RTT,2014-07-25,2014-07-28,Short,310.41,310.41,0.0,-236.23999999999992,BEP,296.9,4.35
39,RTT,2014-07-30,2014-09-11,Short,310.41,274.62,35.79000000000002,-200.4499999999999,SAR,257.1,17.17
40,RTT,2014-09-11,2014-09-16,Long,274.62,279.92,5.300000000000011,-195.1499999999999,SAR,289.8,5.53
41,RTT,2014-09-16,2014-09-26,Short,279.92,251.34,28.580000000000013,-166.56999999999988,SAR,233.1,16.73
42,RTT,2014-09-26,2014-10-07,Long,251.34,246.16,-5.180000000000007,-171.7499999999999,SAR,256.5,2.05
43,RTT,2014-10-07,2014-10-09,Short,246.16,246.16,0.0,-171.7499999999999,BEP,235.6,4.29
44,RTT,2014-10-10,2014-10-13,Long,254.32,244.15,-10.169999999999987,-181.91999999999987,TSL,256.8,0.98
45,RTT,2014-10-14,2014-10-17,Long,254.01,248.44,-5.569999999999993,-187.48999999999987,SAR,263.0,3.54
46,RTT,2014-10-17,2014-10-17,Short,248.44,256.0,-7.560000000000002,-195.04999999999987,SAR,248.4,0.02
47,RTT,2014-10-17,2014-11-10,Long,261.89,298.14,36.25,-158.79999999999987,SAR,311.45,18.92
48,RTT,2014-11-10,2014-11-10,Short,298.14,302.2,-4.060000000000002,-162.85999999999987,SAR,285.6,4.21
49,RTT,2014-11-10,2014-11-11,Long,306.08,299.96,-6.1200000000000045,-168.97999999999988,TSL,311.45,1.75
50,RTT,2020-07-31,2020-08-05,Short,101.55,101.45,0.09999999999999432,-168.87999999999988,SAR,99.35,2.17
51,RTT,2014-11-11,2014-11-12,Short,298.14,299.3,-1.160000000000025,-170.0399999999999,SAR,294.5,1.22
52,RTT,2014-11-12,2014-11-25,Long,299.3,330.31,31.00999999999999,-139.02999999999992,SAR,351.5,17.44
53,RTT,2014-11-25,2014-12-01,Short,330.31,343.52,-13.20999999999998,-152.2399999999999,TSL,322.75,2.29
54,RTT,2014-12-02,2014-12-04,Long,345.22,336.75,-8.470000000000027,-160.70999999999992,SAR,352.8,2.2
55,RTT,2014-12-04,2014-12-18,Short,336.75,327.64,9.110000000000014,-151.5999999999999,SAR,293.7,12.78
56,RTT,2014-12-18,2015-01-06,Long,327.64,328.48,0.8400000000000318,-150.75999999999988,SAR,344.45,5.13
57,RTT,2015-01-06,2015-01-15,Short,328.48,324.11,4.3700000000000045,-146.38999999999987,SAR,309.9,5.66
58,RTT,2015-01-15,2015-01-20,Long,324.11,322.99,-1.1200000000000045,-147.50999999999988,SAR,334.85,3.31
59,RTT,2015-01-20,2015-01-28,Short,322.99,328.1,-5.110000000000014,-152.6199999999999,SAR,313.5,2.94
60,RTT,2015-01-28,2015-02-04,Long,328.1,329.77,1.669999999999959,-150.94999999999993,SAR,351.65,7.18
61,RTT,2015-02-04,2015-02-10,Short,329.77,329.77,0.0,-150.94999999999993,BEP,312.3,5.3
