,System,Entry Date,Exit Date,Trade,Entry,Exit,P&L,Cumm PL,Comments,HH/LL,% ITM
1,RTT,2021-01-08,2021-01-13,Short,50407.98,49439.68,968.3000000000029,968.3000000000029,SAR,48635.0,3.52
2,RTT,2021-01-13,2021-01-14,Long,49439.68,48946.91,-492.7699999999968,475.5300000000061,SAR,49447.0,0.01
3,RTT,2021-01-14,2021-01-20,Short,48946.91,49403.61,-456.6999999999971,18.830000000009022,SAR,48537.0,0.84
4,RTT,2021-01-20,2021-01-27,Long,49403.61,48903.0,-500.6100000000006,-481.77999999999156,SAR,49765.0,0.73
5,RTT,2021-01-27,2021-01-28,Short,48903.0,49241.29,-338.2900000000009,-820.0699999999924,SAR,48511.0,0.8
6,RTT,2021-01-28,2021-01-28,Long,49241.29,48700.0,-541.2900000000009,-1361.3599999999933,SAR,49290.0,0.1
7,RTT,2021-01-28,2021-01-29,Short,49041.72,49241.29,-199.5699999999997,-1560.929999999993,SAR,48521.0,1.06
8,RTT,2021-01-29,2021-02-01,Long,49241.29,48526.75,-714.5400000000009,-2275.469999999994,SAR,49485.0,0.49
9,RTT,2021-02-01,2021-02-01,Short,48526.75,49370.0,-843.25,-3118.719999999994,SAR,47200.0,2.73
10,RTT,2021-02-01,2021-02-02,Long,49241.29,48265.0,-976.2900000000009,-4095.0099999999948,SAR,49400.0,0.32
11,RTT,2021-02-02,2021-02-10,Short,48265.0,48265.0,0.0,-4095.0099999999948,BEP,46600.0,3.45
12,RTT,2021-02-16,2021-03-09,Short,46871.07,44772.37,2098.699999999997,-1996.3099999999977,SAR,44150.0,5.81
13,RTT,2021-03-09,2021-03-12,Long,44772.37,44702.42,-69.95000000000437,-2066.260000000002,SAR,45167.0,0.88
14,RTT,2021-03-12,2021-03-15,Short,44702.42,44968.76,-266.3400000000038,-2332.600000000006,SAR,44271.0,0.97
15,RTT,2021-03-15,2021-03-18,Long,44968.76,44723.37,-245.38999999999942,-2577.9900000000052,SAR,45299.0,0.73
